,Mean,Std Dev,95% CI Margin,Lower Bound,Upper Bound
Accuracy,0.8065772273821811,0.013207046700194446,0.018334320082436805,0.7882429072997442,0.8249115474646179
Precision,0.8234141137180181,0.028952724427942694,0.040192825010051114,0.783221288707967,0.8636069387280692
Recall,0.8232351566152408,0.03111104491740252,0.04318905418925553,0.7800461024259853,0.8664242108044964
F1-Score,0.8223736339769733,0.011037927840837349,0.015323100362609683,0.8070505336143636,0.8376967343395829
AUC-ROC,0.8777435514462162,0.0097031291448737,0.013470102709693343,0.8642734487365229,0.8912136541559095
